<block:absentbydesign:fence_log_acacia>, Acacia Log Fence
<block:botania_tweaks:compressed_tiny_potato_8>, Galactic Potato
<block:botania_tweaks:potted_tiny_potato>, Tiny Pot-tato
<block:botanicadds:dreamrock>, Dreamrock
<block:botanicadds:elven_altar>, Elven Altar
<block:botanicadds:elven_lapis_block>, Elven Lapis Block
<block:botanicadds:elvenwood_log>, Elvenwood Log
<block:botanicadds:gaia_plate>, Gaia Agglomeration Plate
<block:botanicadds:gaiasteel_block>, Gaiasteel Block
<block:botanicadds:mana_lapis_block>, Mana Lapis Block
<block:botanicadds:mana_tesseract>, Mana Tesseract
<block:botanicadds:pool_dreaming>, Dreaming Mana Pool
<block:botanicadds:terra_catalyst>, Terra Catalyst
<block:bountiful:bountyboard>, Bounty Board
<block:bountifulbaubles:reforger>, Reforging Station
<block:buildcraftbuilders:architect>, Architect Table
<block:buildcraftbuilders:builder>, Builder
<block:buildcraftbuilders:filler>, Filler
<block:buildcraftbuilders:frame>, Frame
<block:buildcraftbuilders:library>, Electronic Library
<block:buildcraftbuilders:quarry>, Quarry
<block:buildcraftbuilders:replacer>, tile.replacerBlock.name
<block:buildcraftcore:decorated>, tile.decorated.name
<block:buildcraftcore:engine>, tile.engineBlock.name
<block:buildcraftcore:marker_path>, Path Mark
<block:buildcraftcore:marker_volume>, Land Mark
<block:buildcraftcore:spring>, tile.spring.name
<block:colossalchests:chest_wall>, Colossal Chest Wall
<block:colossalchests:colossal_chest>, Colossal Chest Core
<block:colossalchests:interface>, Colossal Chest Interface
<block:colossalchests:uncolossal_chest>, Uncolossal Chest
<block:conarm:armorforge>, Armor Forge
<block:conarm:armorstation>, Armor Station
<block:conarm:soft_obsidian>, Unstable Obsidian
<block:danknull:danknull_dock>, /dank/null Docking Station
<block:densemetals:dense_adamantine_ore>, Dense Adamantine Ore 
<block:densemetals:dense_aluminum_ore>, Dense Aluminum Ore 
<block:densemetals:dense_antimony_ore>, Dense Antimony Ore 
<block:densemetals:dense_beryllium_ore>, Dense Beryllium Ore 
<block:densemetals:dense_bismuth_ore>, Dense Bismuth Ore 
<block:densemetals:dense_boron_ore>, Dense Boron Ore 
<block:densemetals:dense_cadmium_ore>, Dense Cadmium Ore 
<block:densemetals:dense_chromium_ore>, Dense Chromium Ore 
<block:densemetals:dense_coal_ore>, Dense Coal Ore 
<block:densemetals:dense_coldiron_ore>, Dense Cold-Iron Ore 
<block:densemetals:dense_copper_ore>, Dense Copper Ore 
<block:densemetals:dense_diamond_ore>, Dense Diamond Ore 
<block:densemetals:dense_emerald_ore>, Dense Emerald Ore 
<block:densemetals:dense_gold_ore>, Dense Gold Ore 
<block:densemetals:dense_iridium_ore>, Dense Iridium Ore 
<block:densemetals:dense_iron_ore>, Dense Iron Ore 
<block:densemetals:dense_lapis_ore>, Dense Lapis Ore 
<block:densemetals:dense_lead_ore>, Dense Lead Ore 
<block:densemetals:dense_magnesium_ore>, Dense Magnesium Ore 
<block:densemetals:dense_manganese_ore>, Dense Manganese Ore 
<block:densemetals:dense_mercury_ore>, Dense Mercury Ore 
<block:densemetals:dense_mithril_ore>, Dense Mithril Ore 
<block:densemetals:dense_nether_aluminum_ore>, Dense Nether Aluminum Ore 
<block:densemetals:dense_nether_coal_ore>, Dense Nether Coal Ore 
<block:densemetals:dense_nether_copper_ore>, Dense Nether Copper Ore 
<block:densemetals:dense_nether_diamond_ore>, Dense Nether Diamond Ore 
<block:densemetals:dense_nether_emerald_ore>, Dense Nether Emerald Ore 
<block:densemetals:dense_nether_gold_ore>, Dense Nether Gold Ore 
<block:densemetals:dense_nether_iridium_ore>, Dense Nether Iridium Ore 
<block:densemetals:dense_nether_iron_ore>, Dense Nether Iron Ore 
<block:densemetals:dense_nether_lapis_ore>, Dense Nether Lapis Ore 
<block:densemetals:dense_nether_lead_ore>, Dense Nether Lead Ore 
<block:densemetals:dense_nether_mithril_ore>, Dense Nether Mithril Ore 
<block:densemetals:dense_nether_nickel_ore>, Dense Nether Nickel Ore 
<block:densemetals:dense_nether_platinum_ore>, Dense Nether Platinum Ore 
<block:densemetals:dense_nether_redstone_ore>, Dense Nether Redstone Ore 
<block:densemetals:dense_nether_silver_ore>, Dense Nether Silver Ore 
<block:densemetals:dense_nether_tin_ore>, Dense Nether Tin Ore 
<block:densemetals:dense_nickel_ore>, Dense Nickel Ore 
<block:densemetals:dense_osmium_ore>, Dense Osmium Ore 
<block:densemetals:dense_platinum_ore>, Dense Platinum Ore 
<block:densemetals:dense_plutonium_ore>, Dense Plutonium Ore 
<block:densemetals:dense_quartz_ore>, Dense Quartz Ore 
<block:densemetals:dense_redstone_ore>, Dense Redstone Ore 
<block:densemetals:dense_rutile_ore>, Dense Rutile Ore 
<block:densemetals:dense_silver_ore>, Dense Silver Ore 
<block:densemetals:dense_starsteel_ore>, Dense Starsteel Ore 
<block:densemetals:dense_tantalum_ore>, Dense Tantalum Ore 
<block:densemetals:dense_thorium_ore>, Dense Thorium Ore 
<block:densemetals:dense_tin_ore>, Dense Tin Ore 
<block:densemetals:dense_tungsten_ore>, Dense Tungsten Ore 
<block:densemetals:dense_uranium_ore>, Dense Uranium Ore 
<block:densemetals:dense_zinc_ore>, Dense Zinc Ore 
<block:densemetals:dense_zirconium_ore>, Dense Zirconium Ore 
<block:dimdoors:ancient_fabric>, tile.ancient_fabric.name
<block:dimdoors:dimensional_portal>, item.dimensional_portal.name
<block:dimdoors:dimensional_trapdoor>, Oak Dimensional Trapdoor
<block:dimdoors:eternal_fabric>, Eternal Fabric
<block:dimdoors:fabric>, tile.fabric.name
<block:dimdoors:gold_dimensional_door>, Gold Dimensional Door
<block:dimdoors:gold_door>, Gold Door
<block:dimdoors:iron_dimensional_door>, Iron Dimensional Door
<block:dimdoors:marking_plate>, tile.marking_plate.name
<block:dimdoors:oak_dimensional_door>, Wood Dimensional Door
<block:dimdoors:quartz_dimensional_door>, Quartz Dimensional Door
<block:dimdoors:quartz_door>, Quartz Door
<block:dimdoors:rift>, Rift Scar
<block:dimdoors:unravelled_fabric>, Unraveled Fabric
<block:dynamictrees:acaciabranch>, Acacia Tree
<block:dynamictrees:birchbranch>, Birch Tree
<block:dynamictrees:bonsaipot>, Bonsai Pot
<block:dynamictrees:cactusbranch>, Cactus
<block:dynamictrees:darkoakbranch>, Dark Oak Tree
<block:dynamictrees:darkoakbranchx>, tile.dynamictrees:darkoakbranchx.name
<block:dynamictrees:darkoakroot>, tile.dynamictrees:darkoakroot.name
<block:dynamictrees:fruit>, tile.fruit.name
<block:dynamictrees:fruitcocoa>, tile.null.name
<block:dynamictrees:junglebranch>, Jungle Tree
<block:dynamictrees:junglebranchx>, tile.dynamictrees:junglebranchx.name
<block:dynamictrees:jungleroot>, tile.dynamictrees:jungleroot.name
<block:dynamictrees:leaves0>, Leaves
<block:dynamictrees:leaves1>, Leaves
<block:dynamictrees:oakbranch>, Oak Tree
<block:dynamictrees:oakbranchx>, tile.dynamictrees:oakbranchx.name
<block:dynamictrees:rootydirt>, Rooty Dirt
<block:dynamictrees:rootydirtfake>, tile.rootydirtfake.name
<block:dynamictrees:rootydirtspecies>, tile.dynamictrees:rootydirtspecies.name
<block:dynamictrees:rootysand>, Rooty Sand
<block:dynamictrees:sapling>, tile.sapling.name
<block:dynamictrees:sprucebranch>, Spruce Tree
<block:dynamictrees:sprucebranchx>, tile.dynamictrees:sprucebranchx.name
<block:dynamictrees:trunkshell>, tile.trunkshell.name
<block:dynamictreesphc:banana_sucker>, tile.dynamictreesphc:banana_sucker.name
<block:dynamictreesphc:cinnamonbranch>, Cinnamon Tree
<block:dynamictreesphc:dragonfruitbranch>, Dragonfruit Cactus
<block:dynamictreesphc:fruitalmond>, tile.dynamictreesphc:fruitalmond.name
<block:dynamictreesphc:fruitapricot>, tile.dynamictreesphc:fruitapricot.name
<block:dynamictreesphc:fruitavocado>, tile.dynamictreesphc:fruitavocado.name
<block:dynamictreesphc:fruitbanana>, tile.dynamictreesphc:fruitbanana.name
<block:dynamictreesphc:fruitbreadfruit>, tile.dynamictreesphc:fruitbreadfruit.name
<block:dynamictreesphc:fruitcashew>, tile.dynamictreesphc:fruitcashew.name
<block:dynamictreesphc:fruitcherry>, tile.dynamictreesphc:fruitcherry.name
<block:dynamictreesphc:fruitchestnut>, tile.dynamictreesphc:fruitchestnut.name
<block:dynamictreesphc:fruitcoconut>, tile.dynamictreesphc:fruitcoconut.name
<block:dynamictreesphc:fruitdate>, tile.dynamictreesphc:fruitdate.name
<block:dynamictreesphc:fruitdragonfruit>, tile.dynamictreesphc:fruitdragonfruit.name
<block:dynamictreesphc:fruitdurian>, tile.dynamictreesphc:fruitdurian.name
<block:dynamictreesphc:fruitfig>, tile.dynamictreesphc:fruitfig.name
<block:dynamictreesphc:fruitgooseberry>, tile.dynamictreesphc:fruitgooseberry.name
<block:dynamictreesphc:fruitgrapefruit>, tile.dynamictreesphc:fruitgrapefruit.name
<block:dynamictreesphc:fruitguava>, tile.dynamictreesphc:fruitguava.name
<block:dynamictreesphc:fruithazelnut>, tile.dynamictreesphc:fruithazelnut.name
<block:dynamictreesphc:fruitjackfruit>, tile.dynamictreesphc:fruitjackfruit.name
<block:dynamictreesphc:fruitlemon>, tile.dynamictreesphc:fruitlemon.name
<block:dynamictreesphc:fruitlime>, tile.dynamictreesphc:fruitlime.name
<block:dynamictreesphc:fruitlychee>, tile.dynamictreesphc:fruitlychee.name
<block:dynamictreesphc:fruitmango>, tile.dynamictreesphc:fruitmango.name
<block:dynamictreesphc:fruitnutmeg>, tile.dynamictreesphc:fruitnutmeg.name
<block:dynamictreesphc:fruitolive>, tile.dynamictreesphc:fruitolive.name
<block:dynamictreesphc:fruitorange>, tile.dynamictreesphc:fruitorange.name
<block:dynamictreesphc:fruitpapaya>, tile.dynamictreesphc:fruitpapaya.name
<block:dynamictreesphc:fruitpawpaw>, tile.dynamictreesphc:fruitpawpaw.name
<block:dynamictreesphc:fruitpeach>, tile.dynamictreesphc:fruitpeach.name
<block:dynamictreesphc:fruitpear>, tile.dynamictreesphc:fruitpear.name
<block:dynamictreesphc:fruitpecan>, tile.dynamictreesphc:fruitpecan.name
<block:dynamictreesphc:fruitpeppercorn>, tile.dynamictreesphc:fruitpeppercorn.name
<block:dynamictreesphc:fruitpersimmon>, tile.dynamictreesphc:fruitpersimmon.name
<block:dynamictreesphc:fruitpistachio>, tile.dynamictreesphc:fruitpistachio.name
<block:dynamictreesphc:fruitplum>, tile.dynamictreesphc:fruitplum.name
<block:dynamictreesphc:fruitpomegranate>, tile.dynamictreesphc:fruitpomegranate.name
<block:dynamictreesphc:fruitrambutan>, tile.dynamictreesphc:fruitrambutan.name
<block:dynamictreesphc:fruitsoursop>, tile.dynamictreesphc:fruitsoursop.name
<block:dynamictreesphc:fruitspiderweb>, tile.dynamictreesphc:fruitspiderweb.name
<block:dynamictreesphc:fruitstarfruit>, tile.dynamictreesphc:fruitstarfruit.name
<block:dynamictreesphc:fruittamarind>, tile.dynamictreesphc:fruittamarind.name
<block:dynamictreesphc:fruitvanillabean>, tile.dynamictreesphc:fruitvanillabean.name
<block:dynamictreesphc:fruitwalnut>, tile.dynamictreesphc:fruitwalnut.name
<block:dynamictreesphc:leaves0>, Leaves
<block:dynamictreesphc:leaves_dragonfruit>, tile.leaves_dragonfruit.name
<block:dynamictreesphc:leaves_palm>, tile.leaves_palm.name
<block:dynamictreesphc:maple_spile>, Maple Syrup Spile
<block:dynamictreesphc:maple_spile_bucket>, Maple Syrup Spile
<block:dynamictreesphc:maplebranch>, Maple Tree
<block:dynamictreesphc:palmbranch>, Palm Tree
<block:dynamictreesphc:paperbarkbranch>, Paper Bark Tree
<block:dynamictreesphc:paperbarkcutbranch>, Paper Bark Tree
<block:dynamictreesphc:passionfruit_sapling>, tile.dynamictreesphc:passionfruit_sapling.name
<block:dynamictreesphc:passionfruit_vine>, Passionfruit Vines
<block:dynamictreesphc:passionfruit_vine_age0>, tile.dynamictreesphc:passionfruit_vine_age0.name
<block:dynamictreesphc:passionfruit_vine_age1>, tile.dynamictreesphc:passionfruit_vine_age1.name
<block:dynamictreesphc:passionfruit_vine_age2>, tile.dynamictreesphc:passionfruit_vine_age2.name
<block:dynamictreesphc:passionfruit_vine_age3>, tile.dynamictreesphc:passionfruit_vine_age3.name
<block:dynamictreesquark:blossomingbranch>, Blossoming Tree
<block:dynamictreesquark:leaves0>, Leaves
<block:dynamictreesquark:swampoakbranch>, Swamp Oak Tree
<block:dynamictreestc:greatwoodbranch>, Dynamic Greatwood Tree
<block:dynamictreestc:greatwoodbranchx>, tile.dynamictreestc:greatwoodbranchx.name
<block:dynamictreestc:greatwoodroot>, tile.dynamictreestc:greatwoodroot.name
<block:dynamictreestc:leaves0>, Dynamic Leaves
<block:dynamictreestc:leaves_silverwood>, Silverwood Leaves
<block:dynamictreestc:silverwoodbranch>, Dynamic Silverwood Tree
<block:dynamictreestc:silverwoodbranchx>, tile.dynamictreestc:silverwoodbranchx.name
<block:dynamictreestc:silverwoodroot>, tile.dynamictreestc:silverwoodroot.name
<block:dynamictreestconstruct:fruitblueslime>, tile.fruitblueslime.name
<block:dynamictreestconstruct:fruitgreenslime>, tile.fruitgreenslime.name
<block:dynamictreestconstruct:fruitmagmaslime>, tile.fruitmagmaslime.name
<block:dynamictreestconstruct:fruitpurpleslime>, tile.fruitpurpleslime.name
<block:dynamictreestconstruct:leaves0>, Slime Leaves
<block:dynamictreestconstruct:rootyslimydirt>, Rooty Slimy Dirt
<block:dynamictreestconstruct:slimebluebranch>, Blue Slime Tree
<block:dynamictreestconstruct:slimemagmabranch>, Magma Slime Tree
<block:dynamictreestconstruct:slimepurplebranch>, Purple Slime Tree
<block:dynamictreesthaumicbases:enderoakbranch>, Ender Oak Tree
<block:dynamictreesthaumicbases:fruitender>, tile.fruitender.name
<block:dynamictreesthaumicbases:fruitgolden>, tile.fruitgolden.name
<block:dynamictreesthaumicbases:fruitmagma>, tile.fruitmagma.name
<block:dynamictreesthaumicbases:goldenoakbranch>, Golden Oak Tree
<block:dynamictreesthaumicbases:hellishoakbranch>, Hellish Oak Tree
<block:dynamictreesthaumicbases:leaves0>, Leaves
<block:dynamictreesthaumicbases:rainbowcactusbranch>, Rainbow Cactus
<block:embers:advanced_edge>, tile.advanced_edge.name
<block:embers:alchemical_redstone>, tile.null.name
<block:embers:alchemy_pedestal>, Alchemy Pedestal
<block:embers:alchemy_tablet>, Exchange Tablet
<block:embers:aluminum>, tile.null.name
<block:embers:archaic_bricks>, Archaic Bricks
<block:embers:archaic_edge>, Archaic Edge
<block:embers:archaic_light>, Archaic Light
<block:embers:archaic_mech_edge>, tile.archaic_mech_edge.name
<block:embers:archaic_tile>, Archaic Tile
<block:embers:ashen_brick>, Ashen Brick
<block:embers:ashen_brick_slab>, Ashen Brick Slab
<block:embers:ashen_brick_slab_double>, Ashen Brick Double Slab
<block:embers:ashen_stone>, Ashen Stone
<block:embers:ashen_stone_slab>, Ashen Stone Slab
<block:embers:ashen_stone_slab_double>, Ashen Stone Double Slab
<block:embers:ashen_tile>, Ashen Tile
<block:embers:ashen_tile_slab>, Ashen Tile Slab
<block:embers:ashen_tile_slab_double>, Ashen Tile Double Slab
<block:embers:auto_hammer>, Automatic Hammer
<block:embers:beam_cannon>, Beam Cannon
<block:embers:beam_splitter>, Beam Splitter
<block:embers:bin>, Bin
<block:embers:block_aluminum>, Aluminium Block
<block:embers:block_bronze>, Bronze Block
<block:embers:block_caminite_brick>, Caminite Bricks
<block:embers:block_caminite_brick_slab>, Caminite Brick Slab
<block:embers:block_caminite_brick_slab_double>, Caminite Brick Double Slab
<block:embers:block_copper>, Copper Block
<block:embers:block_dawnstone>, Dawnstone Block
<block:embers:block_electrum>, Electrum Block
<block:embers:block_furnace>, Melter
<block:embers:block_lantern>, Ember Lantern
<block:embers:block_lead>, Lead Block
<block:embers:block_nickel>, Nickel Block
<block:embers:block_silver>, Silver Block
<block:embers:block_tank>, Fluid Vessel
<block:embers:block_tin>, Tin Block
<block:embers:boiler>, Pressure Refinery
<block:embers:breaker>, Automatic Breaker
<block:embers:bronze>, tile.null.name
<block:embers:caminite_lever>, Caminite Lever
<block:embers:catalytic_plug>, Catalytic Plug
<block:embers:catalyzer>, Catalysis Chamber
<block:embers:charger>, Copper Charger
<block:embers:cinder_plinth>, Cinder Plinth
<block:embers:clockwork_attenuator>, Clockwork Attenuator
<block:embers:combustor>, Combustion Chamber
<block:embers:copper>, tile.null.name
<block:embers:copper_cell>, Copper Cell
<block:embers:creative_ember_source>, Creative Ember Source
<block:embers:crystal_cell>, Crystal Cell
<block:embers:dawnstone>, tile.null.name
<block:embers:dawnstone_anvil>, Dawnstone Anvil
<block:embers:electrum>, tile.null.name
<block:embers:ember_activator>, Ember Activator
<block:embers:ember_bore>, Ember Bore
<block:embers:ember_emitter>, Ember Emitter
<block:embers:ember_funnel>, Ember Funnel
<block:embers:ember_gauge>, Ember Dial
<block:embers:ember_injector>, Ember Injector
<block:embers:ember_pulser>, Ember Ejector
<block:embers:ember_receiver>, Ember Receptor
<block:embers:ember_relay>, Ember Relay
<block:embers:ember_siphon>, Ember Siphon
<block:embers:explosion_pedestal>, Explosion Charm Pedestal
<block:embers:field_chart>, Field Chart
<block:embers:fluid_gauge>, Fluid Dial
<block:embers:fluid_transfer>, Fluid Transfer
<block:embers:geo_separator>, Geologic Separator
<block:embers:glow>, tile.glow.name
<block:embers:gold>, tile.null.name
<block:embers:heat_coil>, Hearth Coil
<block:embers:inferno_forge>, Inferno Forge
<block:embers:inferno_forge_edge>, tile.inferno_forge_edge.name
<block:embers:iron>, tile.null.name
<block:embers:item_dropper>, Item Dropper
<block:embers:item_pipe>, Item Pipe
<block:embers:item_pump>, Item Extractor
<block:embers:item_transfer>, Item Transfer
<block:embers:large_tank>, Reservoir
<block:embers:lead>, tile.null.name
<block:embers:mech_accessor>, Machine Accessor
<block:embers:mech_core>, Mechanical Core
<block:embers:mech_edge>, tile.mech_edge.name
<block:embers:mechanical_pump>, Mechanical Pump
<block:embers:mini_boiler>, Mini Boiler
<block:embers:mixer>, Mixer Centrifuge
<block:embers:nickel>, tile.null.name
<block:embers:ore_aluminum>, Aluminium Ore
<block:embers:ore_copper>, Copper Ore
<block:embers:ore_lead>, Lead Ore
<block:embers:ore_nickel>, Nickel Ore
<block:embers:ore_quartz>, Quartz Ore
<block:embers:ore_silver>, Silver Ore
<block:embers:ore_tin>, Tin Ore
<block:embers:pipe>, Fluid Pipe
<block:embers:pump>, Fluid Extractor
<block:embers:reactor>, Ignem Reactor
<block:embers:sealed_planks>, Sealed Planks
<block:embers:seed>, tile.seed.name
<block:embers:seed_aluminum>, Aluminium Crystal Seed
<block:embers:seed_copper>, Copper Crystal Seed
<block:embers:seed_dawnstone>, Dawnstone Crystal Seed
<block:embers:seed_gold>, Gold Crystal Seed
<block:embers:seed_iron>, Iron Crystal Seed
<block:embers:seed_lead>, Lead Crystal Seed
<block:embers:seed_nickel>, Nickel Crystal Seed
<block:embers:seed_silver>, Silver Crystal Seed
<block:embers:seed_tin>, Tin Crystal Seed
<block:embers:silver>, tile.null.name
<block:embers:stairs_ashen_brick>, Ashen Brick Stairs
<block:embers:stairs_ashen_stone>, Ashen Stone Stairs
<block:embers:stairs_ashen_tile>, Ashen Tile Stairs
<block:embers:stairs_caminite_brick>, Caminite Brick Stairs
<block:embers:stamper>, Stamper
<block:embers:stamper_base>, Stamp Base
<block:embers:stirling>, Wildfire Stirling
<block:embers:stone_edge>, Caminite Ring
<block:embers:stone_valve>, Caminite Valve
<block:embers:structure_marker>, tile.structure_marker.name
<block:embers:tin>, tile.null.name
<block:embers:vacuum>, Item Vacuum
<block:embers:wall_ashen_brick>, tile.wall_ashen_brick.normal.name
<block:embers:wall_ashen_stone>, tile.wall_ashen_stone.normal.name
<block:embers:wall_ashen_tile>, tile.wall_ashen_tile.normal.name
<block:embers:wall_caminite_brick>, tile.wall_caminite_brick.normal.name
<block:embers:wrapped_sealed_planks>, Reinforced Sealed Planks
<block:extraalchemy:encasing_ice>, tile.encasing_ice.name
<block:extrabotany:blockorichalcos>, tile.blockorichalcos.name
<block:extrabotany:blockphotonium>, tile.blockphotonium.name
<block:extrabotany:blockshadowium>, tile.blockshadowium.name
<block:extrabotany:chargepad>, tile.chargepad.name
<block:extrabotany:cocoondesire>, tile.cocoondesire.name
<block:extrabotany:dimensioncatalyst>, tile.dimensioncatalyst.name
<block:extrabotany:elfjar>, tile.elfjar.name
<block:extrabotany:fluidedmana>, Fluided Mana
<block:extrabotany:manabarrel>, tile.manabarrel.name
<block:extrabotany:managenerator>, tile.managenerator.name
<block:extrabotany:manaliquefaction>, tile.manaliquefaction.name
<block:extrabotany:pedestal>, tile.pedestal.name
<block:extrabotany:quantummanabuffer>, tile.quantummanabuffer.name
<block:extrabotany:trophy>, tile.trophy.name
<block:forbidden_arcanus:arcane_base_block>, Arcane Base Block
<block:forbidden_arcanus:arcane_base_block_pillar>, Arcane Base Block Pillar
<block:forbidden_arcanus:arcane_base_block_slab>, Arcane Base Block Slab
<block:forbidden_arcanus:arcane_base_block_slab_double>, tile.forbidden_arcanus.arcane_base_block_slab_double.name
<block:forbidden_arcanus:arcane_base_block_stairs>, Arcane Base Block Stairs
<block:forbidden_arcanus:arcane_base_block_wall>, tile.forbidden_arcanus.arcane_base_block_wall.normal.name
<block:forbidden_arcanus:arcane_carved_dark_stone_bricks>, Arcane Carved Dark Stone Bricks
<block:forbidden_arcanus:arcane_crystal_block>, Arcane Crystal Block
<block:forbidden_arcanus:arcane_crystal_ore>, Arcane Crystal Ore
<block:forbidden_arcanus:arcane_dark_stone>, Arcane Dark Stone
<block:forbidden_arcanus:arcane_dragon_egg>, Arcane Dragon Egg
<block:forbidden_arcanus:arcane_edelwood_planks>, Arcane Edelwood Planks
<block:forbidden_arcanus:arcane_glass>, Arcane Glass
<block:forbidden_arcanus:arcane_glass_pane>, Arcane Glass Pane
<block:forbidden_arcanus:arcane_gold_block>, Arcane Gold Block
<block:forbidden_arcanus:arcane_gold_door>, Arcane Gold Door
<block:forbidden_arcanus:arcane_gold_pressure_plate>, Arcane Gold Pressure Plate
<block:forbidden_arcanus:bottle_block>, Bottle Block
<block:forbidden_arcanus:candle>, Candle
<block:forbidden_arcanus:candle_lamp>, Candle Lamp
<block:forbidden_arcanus:carved_cherrywood_planks>, Carved Cherrywood Planks
<block:forbidden_arcanus:carved_dark_stone_bricks>, Carved Dark Stone Bricks
<block:forbidden_arcanus:cherrywood>, Cherrywood
<block:forbidden_arcanus:cherrywood_button>, Cherrywood Button
<block:forbidden_arcanus:cherrywood_door>, Cherrywood Door
<block:forbidden_arcanus:cherrywood_fence>, Cherrywood Fence
<block:forbidden_arcanus:cherrywood_leaves>, Cherrywood Leaves
<block:forbidden_arcanus:cherrywood_log>, Cherrywood Log
<block:forbidden_arcanus:cherrywood_planks>, Cherrywood Planks
<block:forbidden_arcanus:cherrywood_pressure_plate>, Cherrywood Pressure Plate
<block:forbidden_arcanus:cherrywood_sapling>, Cherrywood Sapling
<block:forbidden_arcanus:cherrywood_slab>, Cherrywood Slab
<block:forbidden_arcanus:cherrywood_slab_double>, tile.forbidden_arcanus.cherrywood_slab_double.name
<block:forbidden_arcanus:cherrywood_stairs>, Cherrywood Stairs
<block:forbidden_arcanus:cherrywood_trapdoor>, Cherrywood Trapdoor
<block:forbidden_arcanus:chiseled_arcane_base_block>, Chiseled Arcane Base Block
<block:forbidden_arcanus:corrupt_pixi_in_a_bottle_block>, Corrupt Pixi in a Bottle Block
<block:forbidden_arcanus:dark_nether_star_block>, Dark Nether Star Block
<block:forbidden_arcanus:dark_runestone>, Dark Runestone
<block:forbidden_arcanus:dark_runic_glass>, Dark Runic Glass
<block:forbidden_arcanus:dark_runic_glass_pane>, Dark Runic Glass Pane
<block:forbidden_arcanus:dark_stone>, Dark Stone
<block:forbidden_arcanus:dark_stone_brick_slab>, Dark Stone Brick Slab
<block:forbidden_arcanus:dark_stone_brick_slab_double>, tile.forbidden_arcanus.dark_stone_brick_slab_double.name
<block:forbidden_arcanus:dark_stone_brick_stairs>, Dark Stone Brick Stairs
<block:forbidden_arcanus:dark_stone_brick_wall>, tile.forbidden_arcanus.dark_stone_brick_wall.normal.name
<block:forbidden_arcanus:dark_stone_bricks>, Dark Stone Bricks
<block:forbidden_arcanus:dark_stone_button>, Dark Stone Button
<block:forbidden_arcanus:dark_stone_pressure_plate>, Dark Stone Pressure Plate
<block:forbidden_arcanus:edelwood_button>, Edelwood Button
<block:forbidden_arcanus:edelwood_door>, Edelwood Door
<block:forbidden_arcanus:edelwood_fence>, Edelwood Fence
<block:forbidden_arcanus:edelwood_ladder>, Edelwood Ladder
<block:forbidden_arcanus:edelwood_log>, Edelwood Log
<block:forbidden_arcanus:edelwood_planks>, Edelwood Planks
<block:forbidden_arcanus:edelwood_pressure_plate>, Edelwood Pressure Plate
<block:forbidden_arcanus:edelwood_slab>, Edelwood Slab
<block:forbidden_arcanus:edelwood_slab_double>, tile.forbidden_arcanus.edelwood_slab_double.name
<block:forbidden_arcanus:edelwood_stairs>, Edelwood Stairs
<block:forbidden_arcanus:edelwood_trapdoor>, Edelwood Trapdoor
<block:forbidden_arcanus:ender_crystal_gem>, Ender Crystal Gem
<block:forbidden_arcanus:golden_orchid>, tile.forbidden_arcanus.golden_orchid.name
<block:forbidden_arcanus:mysterywood>, Mysterywood
<block:forbidden_arcanus:mysterywood_button>, Mysterywood Button
<block:forbidden_arcanus:mysterywood_door>, Mysterywood Door
<block:forbidden_arcanus:mysterywood_fence>, Mysterywood Fence
<block:forbidden_arcanus:mysterywood_leaves>, Mysterywood Leaves
<block:forbidden_arcanus:mysterywood_log>, Mysterywood Log
<block:forbidden_arcanus:mysterywood_planks>, Mysterywood Planks
<block:forbidden_arcanus:mysterywood_pressure_plate>, Mysterywood Pressure Plate
<block:forbidden_arcanus:mysterywood_sapling>, Mysterywood Sapling
<block:forbidden_arcanus:mysterywood_slab>, Mysterywood Slab
<block:forbidden_arcanus:mysterywood_slab_double>, tile.forbidden_arcanus.mysterywood_slab_double.name
<block:forbidden_arcanus:mysterywood_stairs>, Mysterywood Stairs
<block:forbidden_arcanus:mysterywood_trapdoor>, Mysterywood Trapdoor
<block:forbidden_arcanus:pixi_in_a_bottle_block>, Pixi in a Bottle Block
<block:forbidden_arcanus:runestone>, Runestone
<block:forbidden_arcanus:runic_carved_dark_stone_bricks>, Runic Carved Dark Stone Bricks
<block:forbidden_arcanus:runic_glass>, Runic Glass
<block:forbidden_arcanus:runic_glass_pane>, Runic Glass Pane
<block:forbidden_arcanus:runic_tenebris_core>, Runic Tenebris Core
<block:forbidden_arcanus:runic_tenebris_frame>, Runic Tenebris Frame
<block:forbidden_arcanus:yellow_orchid>, Yellow Orchid
<block:forgemultipartcbe:multipart_block>, tile.null.name
<block:futuremc:acacia_standing_sign>, tile.futuremc.acacia_standing_sign.name
<block:futuremc:acacia_trapdoor>, Acacia Trapdoor
<block:futuremc:acacia_wall_sign>, tile.futuremc.acacia_wall_sign.name
<block:futuremc:acacia_wood>, Acacia Wood
<block:futuremc:ancient_debris>, Ancient Debris
<block:futuremc:andesite_wall>, Andesite Wall
<block:futuremc:bamboo>, Bamboo
<block:futuremc:barrel>, Barrel
<block:futuremc:bee_nest>, Bee Nest
<block:futuremc:beehive>, Bee Hive
<block:futuremc:bell>, Bell
<block:futuremc:birch_standing_sign>, tile.futuremc.birch_standing_sign.name
<block:futuremc:birch_trapdoor>, Birch Trapdoor
<block:futuremc:birch_wall_sign>, tile.futuremc.birch_wall_sign.name
<block:futuremc:birch_wood>, Birch Wood
<block:futuremc:blast_furnace>, Blast Furnace
